"project"	"Percentage_mobile"	"Total_pageviews"
"lb.wiktionary"	0.875	24000
"ta.wikiquote"	0.125	24000
"jv.wiktionary"	0.538461538461538	39000
"kk.wikibooks"	0.14	100000
"kk.wiktionary"	0.296296296296296	27000
"bn.wikibooks"	0.222222222222222	27000
"ku.wikiquote"	0.4	35000
"lbe.wikipedia"	0.117647058823529	68000
"ur.wiktionary"	0.567567567567568	37000
"rn.wikipedia"	0.142857142857143	42000
"sv.wikiversity"	0.142857142857143	21000
"sv.wikivoyage"	0.148148148148148	27000
"ro.wikiquote"	0.166666666666667	36000
"is.wikiquote"	0.363636363636364	22000
"sl.wikibooks"	0.0476190476190476	21000
"he.wikinews"	0.166666666666667	30000
"m.wikisource"	1	95000
